,sublimations_0,sublimations_1,sublimations_2,sublimations_3,sublimations_4,sublimations_5,sublimations_6,sublimations_7,sublimations_8,sublimations_9,sublimations_10,sublimations_11
https://www.zenithwakfu.com/builder/3bdem,Poids Plume I,Poids Plume II,Influence II,,Influence lente III,,,Influence II,Ravage II,Ravage II,Inflexibilité,Stasification
https://www.zenithwakfu.com/builder/b1oay,,Cicatrisation III,,Cicatrisation III,,,Carapace II,,Dérobade continue I,,Pilier,Energie ancestrale
https://www.zenithwakfu.com/builder/fgpns,Ambition III,Expert des armes légères III,Abandon II,Neutralité III,Force vitale II,Expert des armes légères III,Tellurisme secondaire III,Verrouillage III,Verrouillage III,Puissance brute III,Dénouement,Alternance
https://www.zenithwakfu.com/builder/0ymrn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/lm6pu,Armure lourde II,Retour PA II,Influence III,Force vitale II,Retour PA II,Sauvegarde II,Sauvegarde II,Puissance brute I,Influence du Wakfu II,Influence III,,
https://www.zenithwakfu.com/builder/xmp0t,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/npsjq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/pxxa8,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/5p9vn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/udh2n,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/bsdob,,,,,,,,,,,Dénouement,
https://www.zenithwakfu.com/builder/3jepq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ujk4l,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/udfgz,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/h6bto,Cicatrisation III,Ventilation III,Dévastation III,Puissance brute III,Ravage secondaire II,Folie III,Tellurisme secondaire III,Propagation III,Préparation critique III,Ravage III,Démesuré,Dernier instant
https://www.zenithwakfu.com/builder/4vofk,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hfzco,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wiks0,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/umwpf,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/lxtff,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/fzqvc,Ruine III,Puissance brute III,Courage III,Brûlure II,Brûlure II,Poids Plume II,Ruine III,,Poids Plume II,Courage III,Constance II,Hypermétrope
https://www.zenithwakfu.com/builder/axn9s,Parade offensive II,Influence III,Embuscade III,Dérobade lente II,Ventilation III,Brûlure secondaire III,Poids Plume III,Ravage III,Dérobade continue III,Influence III,Mesure,Excès
https://www.zenithwakfu.com/builder/nfva9,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/13ywi,Arcanes III,Ruine III,Valeur ajoutée III,Contre-attaque III,Tellurisme III,Ruine cyclique II,Ventilation III,Arcanes III,Ruine III,Contre-attaque III,,
https://www.zenithwakfu.com/builder/ywndb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/zcxqz,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/lrohj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/sydtt,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/5qoat,,,,Balance critique III,Balance critique III,,,Influence III,Longueur III,Longueur III,Maniement : Deux mains,
https://www.zenithwakfu.com/builder/hxjaw,Influence du Wakfu II,,Influence III,Ravage III,Influence vitale III,,,Influence vitale III,,,Concentration Elémentaire,Alternance
https://www.zenithwakfu.com/builder/psckg,Retour PA II,Ambition III,Retour PA II,Ambition III,Abandon II,Abandon II,Neutralité II,Puissance brute III,Influence du Wakfu II,Neutralité II,Dénouement,Sentinelle
https://www.zenithwakfu.com/builder/xnq0w,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/osdlq,Influence du Wakfu II,Influence lente III,Carapace II,Influence vitale III,Agilité vitale II,Brûlure III,Force vitale II,Influence vitale III,Représailles III,Ravage III,Dénouement,Alternance II
https://www.zenithwakfu.com/builder/wo7kf,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/bbh5b,,,Carapace II,,,,,,,,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/evsch,Carnage III,Carnage III,Expert des armes légères III,Ravage II,,Ravage II,Dévastation III,Force légère III,Force légère III,Expert des armes légères III,,
https://www.zenithwakfu.com/builder/p4i0s,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/tra9y,Brûlure secondaire III,Ventilation III,Carapace II,Influence III,Parade offensive II,Sauvegarde II,Poids Plume III,Ravage III,Ravage secondaire II,Influence III,Mesure,Excès
https://www.zenithwakfu.com/builder/ggx2u,Enveloppe rocheuse III,Vélocité I,Vélocité I,Barrière Distance III,Barrière Mêlée III,Longueur d'armure III,Longueur d'armure III,Cicatrisation III,Cicatrisation III,Enveloppe rocheuse III,Furie,
https://www.zenithwakfu.com/builder/oexii,Agilité vitale II,Force vitale II,Secret de la vie II,Visibilité I,Visibilité I,Enveloppe rocheuse III,Enveloppe rocheuse III,Influence III,Carnage III,Carnage III,Elémentalisme,
https://www.zenithwakfu.com/builder/4damm,Visibilité I,Visibilité I,Longueur III,Force vitale II,Influence III,Loup solitaire III,Longueur III,Influence III,Acribie III,Acribie III,Elémentalisme,
https://www.zenithwakfu.com/builder/q5nha,Carnage III,Armure lourde II,Visibilité I,Force vitale II,Carnage III,Influence III,Visibilité I,Influence III,Acribie III,Acribie III,Elémentalisme,
https://www.zenithwakfu.com/builder/ahhlo,Cicatrisation III,Ecailles de lune III,Embuscade III,Arcanes III,Arcanes III,Influence lente III,Cicatrisation III,Influence III,Influence III,Embuscade III,Brutalité,
https://www.zenithwakfu.com/builder/l1vlj,Apprêt III,Cicatrisation III,Embuscade III,Courage III,Courage III,Muraille III,Apprêt III,Ecailles de lune III,Ecailles de lune III,Embuscade III,Constance II,
https://www.zenithwakfu.com/builder/rj3lk,,,,,,,,,,,Concentration Elémentaire,Calibrage
https://www.zenithwakfu.com/builder/wal6q,Vivacité II,,,,,,,,,,,
https://www.zenithwakfu.com/builder/oi5ri,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/zhkhd,Poids Plume II,Poids Plume II,Carapace II,Influence II,Ravage II,Ravage II,Dévastation I,Influence II,Armure lourde II,Influence II,Inflexibilité,
https://www.zenithwakfu.com/builder/hc0pc,Influence du Wakfu I,,,,,Influence du Wakfu I,,,,,,
https://www.zenithwakfu.com/builder/opc0y,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/mdc4m,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ggzlr,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/yf30v,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/3scsm,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/7ypmi,Enveloppe rocheuse III,Cicatrisation III,,,,,Carapace II,Enveloppe rocheuse III,Ambition III,Cicatrisation III,Engagement,
https://www.zenithwakfu.com/builder/kaeux,Influence du Wakfu I,Influence du Wakfu I,Retour PA II,Influence vitale III,Influence vitale III,Brûlure III,Retour PA II,Puissance brute I,Force vitale II,Influence II,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/diyud,Dévastation I,Dimensionnalité II,Retour PA II,Influence du Wakfu II,Stupéfaction II,Vivacité II,Stupéfaction II,Retour PA II,Poids Plume III,Puissance brute I,Maniement : Deux mains,Lunatique
https://www.zenithwakfu.com/builder/rhrhj,Carapace II,,Puissance brute I,Ravage III,Retour PA II,,Influence II,Influence vitale II,Influence du Wakfu II,Influence lente II,,
https://www.zenithwakfu.com/builder/muhsa,Enveloppe rocheuse III,,Force vitale II,Sanguinolence II,Profit II,Sanguinolence II,Volonté directe III,Volonté directe III,Agilité vitale II,,,
https://www.zenithwakfu.com/builder/tqftq,Retour PA II,Retour PA II,Dévastation III,Influence du Wakfu II,Représailles III,Influence III,Influence III,Ravage III,Brûlure III,Puissance brute I,Concentration Elémentaire,Lunatique
https://www.zenithwakfu.com/builder/kupcw,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/lizas,Ravage III,Folie III,Carapace sanguine II,Critique Berserk III,Verrouillage III,Critique Berserk III,Brûlure III,Verrouillage III,Influence du Wakfu II,Puissance brute II,Maniement : Dague,Par-delà la barrière
https://www.zenithwakfu.com/builder/4k6ui,Expert des armes légères II,Expert des armes légères II,Temporisation II,Altruisme II,Altruisme II,Ravage I,Ravage I,Temporisation II,Altruisme II,Ravage I,,
https://www.zenithwakfu.com/builder/jfhw5,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/6mtom,Force vitale II,Courage III,Courage III,Agilité vitale II,Enveloppe rocheuse III,Cicatrisation III,Enveloppe rocheuse III,Carapace II,Ravage III,Cicatrisation III,Abnégation,Distribution
https://www.zenithwakfu.com/builder/3z2mp,Contre-attaque III,Expert des armes légères III,Embuscade III,Enveloppe rocheuse III,Enveloppe rocheuse III,Expert des armes légères III,Contre-attaque III,Embuscade III,Ravage III,Gel III,,
https://www.zenithwakfu.com/builder/kfgo7,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/vl90s,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/vc6ni,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/inilr,Cicatrisation III,Ventilation III,Dévastation III,Puissance brute III,Ravage secondaire II,Représailles III,Tellurisme secondaire III,Propagation III,Préparation critique III,Ravage III,Démesuré,Dernier instant
https://www.zenithwakfu.com/builder/o8pxg,Ruine III,Ruine III,Valeur ajoutée III,Ruine cyclique II,Ventilation III,Poids Plume II,Carapace II,Tabass'Carapace III,Ravage III,Poids Plume II,Constance II,Contrôle du temps
https://www.zenithwakfu.com/builder/3obqo,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ljxpd,,,,,,,Expert des armes légères III,,,Expert des armes légères III,,
https://www.zenithwakfu.com/builder/oxtni,Brûlure III,Influence III,Profit II,Sanguinolence III,Force vitale II,Ravage III,Gel III,Puissance brute I,Influence du Wakfu II,Profit II,Dénouement,Alternance
https://www.zenithwakfu.com/builder/i2j2k,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jqwsq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/dsbbq,,Ecailles de lune III,Ecailles de lune III,Vélocité II,Ravage secondaire II,Contre-attaque I,Volte-face II,Profit II,Ravage secondaire II,,Volonté de fer,Face-à-face
https://www.zenithwakfu.com/builder/nxrsh,,,,,,,,Puissance brute II,,,,
https://www.zenithwakfu.com/builder/mqvpt,Ruine II,Contre-attaque II,Evasion II,Valeur ajoutée II,Valeur ajoutée II,Contre-attaque II,Ruine II,Ruine II,Retour enflammé II,Contre-attaque II,Constance II,Arme de Lumière
https://www.zenithwakfu.com/builder/xoqxp,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/nrnf2,,,,,,Vélocité I,,,,,,
https://www.zenithwakfu.com/builder/c9ctq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/txlhg,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/fz0hi,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jkers,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/2yke9,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/niwzy,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/3p5vn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ycoaj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/x86im,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/l8utt,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wdicy,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/kxdap,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/m6zzp,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jj2d0,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/iznqr,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xs5vc,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/cib8l,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/5sxzf,Ruine III,Ruine III,Abandon II,Abandon II,Abandon II,Expert des armes légères III,Force vitale II,Puissance brute III,Expert des armes légères III,Ventilation III,Constance II,Contrôle du temps
https://www.zenithwakfu.com/builder/cydfi,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/8hiye,Influence lente III,Force vitale II,Valeur ajoutée III,Influence III,Ventilation III,Ruine cyclique II,Carapace II,Influence III,Ruine III,Ruine III,Concentration Elémentaire,Calibrage II
https://www.zenithwakfu.com/builder/0c7fx,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/65khz,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/n5k41,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gwnxx,Expert des Parades II,Abandon II,Enveloppe rocheuse III,Prétention III,Enveloppe rocheuse III,Vélocité I,Prétention III,Abandon II,Abandon II,Théorie de la matière II,Force Herculéenne,Paisible
https://www.zenithwakfu.com/builder/ulkv2,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/to7mq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/ur9hb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/gh01e,Tolérance II,Agilité vitale II,Force vitale II,Influence du Wakfu II,Influence lente III,Vélocité II,Secret de la vie II,Carapace II,Influence vitale III,Influence vitale III,Engagement,Distribution
https://www.zenithwakfu.com/builder/cd5si,Neutralité II,Force vitale II,Sanguinolence III,Ambition III,Influence lente III,,Ambition III,,Tellurisme III,Neutralité III,,
https://www.zenithwakfu.com/builder/tsvyj,,,,,,,,,,,Mesure,
https://www.zenithwakfu.com/builder/2ob9y,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/byknc,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/cfaxz,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/prsnh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/d51ek,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/8yttl,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/1xuka,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/snnsn,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/j4zom,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/jheqb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/dytn7,Retour PA II,Ambition III,Retour PA II,Ambition III,Abandon II,Abandon II,Neutralité II,Puissance brute III,Influence du Wakfu II,Neutralité II,Dénouement,Sentinelle
https://www.zenithwakfu.com/builder/sacma,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/9cosn,,,,,,,,,,,Abnégation,
https://www.zenithwakfu.com/builder/ngveq,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/6nnhk,,Cicatrisation I,Cicatrisation I,,,Interception I,,,,,,
https://www.zenithwakfu.com/builder/opobt,Cicatrisation III,,,,,,,,,Cicatrisation III,,
https://www.zenithwakfu.com/builder/6pn3j,Influence du Wakfu II,Influence vitale III,Retour PA II,Influence vitale II,Retour PA II,Force vitale II,Sauvegarde II,Puissance brute II,Ruine III,Ruine III,Contrôle de l'espace II,Lunatique
https://www.zenithwakfu.com/builder/fiysu,Cicatrisation III,Ruine III,Carapace II,Neutralité II,Neutralité II,Ruine III,Valeur ajoutée III,Courage III,Ruine cyclique II,Cicatrisation III,Concentration Elémentaire,Alternance
https://www.zenithwakfu.com/builder/vx9fw,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/mr3sn,Courage III,Courage III,Intégrité II,Ravage II,Ravage II,Vélocité I,Cicatrisation II,Cicatrisation II,Dérobade lente II,Cicatrisation II,Abnégation,Sentinelle
https://www.zenithwakfu.com/builder/zpq5x,Courage III,Courage III,,Ravage II,Ravage II,Vélocité I,Cicatrisation II,Cicatrisation II,Dérobade lente II,Cicatrisation II,Abnégation,Sentinelle
https://www.zenithwakfu.com/builder/iorgv,Cicatrisation III,Ruine III,Carapace II,Conservation III,Valeur ajoutée III,Ruine cyclique II,Secret de la vie II,Neutralité III,Ruine III,Cicatrisation III,Concentration Elémentaire,Alternance
https://www.zenithwakfu.com/builder/zbjbb,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xcdpu,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/l9hwo,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/hgdkc,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/kkh3j,,Neutralité I,Neutralité I,Neutralité I,Neutralité I,,,,,,,
https://www.zenithwakfu.com/builder/yxedd,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/x9rc0,Cicatrisation III,Ravage III,Dévastation III,Cicatrisation III,Force vitale II,Ruine III,Tolérance II,Carapace II,Poids Plume III,Ruine III,Concentration Elémentaire,Aura de Flammes
https://www.zenithwakfu.com/builder/pakgi,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/4rsok,Neutralité III,,,Influence vitale III,Ambition III,,,,Influence vitale III,Ambition III,Concentration Elémentaire,Hypermétrope
https://www.zenithwakfu.com/builder/sbzeu,Enveloppe rocheuse III,Abandon II,Abandon II,Théorie de la matière II,Prétention III,Vélocité I,Carapace II,Abandon II,Visibilité II,Enveloppe rocheuse III,Force Herculéenne,Confiance
https://www.zenithwakfu.com/builder/xzezm,Ruine III,Retour enflammé II,Cicatrisation III,Barrière Mêlée III,Contre-attaque III,Cicatrisation III,Ruine III,Brûlure III,Contre-attaque III,Carapace II,Constance II,Aura de Flammes
https://www.zenithwakfu.com/builder/kt0we,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/rnyug,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/8mdah,Poids Plume III,Embuscade écartée III,Carapace II,Profit II,Profit II,,Embuscade écartée III,Profit II,Sanguinolence III,Ravage III,Démesuré,Alternance II
https://www.zenithwakfu.com/builder/sztib,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wxyxf,Ruine III,Valeur ajoutée III,Tellurisme III,Contre-attaque III,Cicatrisation III,Ruine III,Ruine cyclique II,Cicatrisation III,Ravage III,Carapace II,Constance II,Face-à-face
https://www.zenithwakfu.com/builder/jddyl,Tellurisme II,,Brûlure II,Ambition II,Ambition II,Brûlure II,Neutralité II,,Neutralité II,Tellurisme II,Dénouement,
https://www.zenithwakfu.com/builder/2c0wn,Brûlure III,Ruine III,Embuscade III,Carapace II,Critique Berserk III,Critique Berserk III,Ruine III,Influence III,Influence III,Ravage III,Concentration Elémentaire,Pétulance
https://www.zenithwakfu.com/builder/rrstc,Brûlure III,Ruine III,Embuscade III,Critique Berserk III,Ruine III,Influence III,Influence III,Ravage III,,,,
https://www.zenithwakfu.com/builder/q9l33,Poids Plume II,,Embuscade II,Embuscade II,Embuscade II,Ravage II,Poids Plume II,,Ravage II,,Inflexibilité,
https://www.zenithwakfu.com/builder/kdd71,,,,,,,,,,,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/mwosh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/tqxso,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/qmlwj,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/fb5ox,,,,,,,,,,,Concentration Elémentaire,
https://www.zenithwakfu.com/builder/yzdpp,,,,,,,,,,,,Lunatique II
https://www.zenithwakfu.com/builder/8urwr,Force vitale II,Influence vitale III,Brûlure III,Retour PA II,Retour PA II,Persistance II,Carapace II,Influence III,Influence du Wakfu II,Puissance brute I,Concentration Elémentaire,Alternance
https://www.zenithwakfu.com/builder/h5ldg,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xkqoh,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/xv2hg,Poids Plume III,Brûlure III,Retour enflammé II,Embuscade III,Embuscade III,Cicatrisation III,Cicatrisation III,Critique Berserk III,Critique Berserk III,Ravage III,Furie,Directives
https://www.zenithwakfu.com/builder/3su0e,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/c3gdo,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/iwd4i,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/wo7cx,Sanguinolence III,Gel secondaire III,Brûlure III,Gel III,Profit II,Carapace II,Profit II,Profit II,Poids Plume II,Poids Plume II,Démesuré,Par-delà la barrière
https://www.zenithwakfu.com/builder/0bvgh,,Expert des armes légères III,,,,,Tellurisme secondaire I,,,Expert des armes légères III,,
https://www.zenithwakfu.com/builder/bzg8z,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/fosll,Dernier souffle III,Cicatrisation I,Carapace sanguine III,Contre-attaque III,Barrière Mêlée III,Dernier souffle III,Carapace sanguine III,Courage III,Cicatrisation I,Courage III,Furie,Aura de Flammes
https://www.zenithwakfu.com/builder/z1srx,Brûlure secondaire III,Influence II,Embuscade II,,Ravage II,Cicatrisation II,Cicatrisation II,Embuscade II,Influence II,Ravage II,,
https://www.zenithwakfu.com/builder/0nn4h,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/aks22,,,,,,,,,,,,
https://www.zenithwakfu.com/builder/yntfu,,,,,Cicatrisation II,,,,,,,
