,level,name,classe
https://www.zenithwakfu.com/builder/xsomo,230,sa,sacrieur
https://www.zenithwakfu.com/builder/s6cxz,125,sdz,eliotrope
https://www.zenithwakfu.com/builder/jwilc,170,j,ecaflip
https://www.zenithwakfu.com/builder/1eqjy,155,cra 155 test,cra
https://www.zenithwakfu.com/builder/pkva6,125,125 Support Poison sram,sram
https://www.zenithwakfu.com/builder/qgajv,65,Indireto,eliotrope
https://www.zenithwakfu.com/builder/qr3th,110,ELIO110,eliotrope
https://www.zenithwakfu.com/builder/1ntgg,95,Panda soutien,pandawa
https://www.zenithwakfu.com/builder/bmw0w,65,65,sadida
https://www.zenithwakfu.com/builder/jvr08,110,sdsd,sadida
https://www.zenithwakfu.com/builder/um9ls,155,mon poison sabléo,ouginak
https://www.zenithwakfu.com/builder/vdrdr,140,140 v8,ecaflip
https://www.zenithwakfu.com/builder/5o5ly,231,Ioplau,iop
https://www.zenithwakfu.com/builder/njhkl,110,hupper ranger,huppermage
https://www.zenithwakfu.com/builder/btl2o,155,asdasd,sacrieur
https://www.zenithwakfu.com/builder/5khl4,230,mastermvp,osamodas
https://www.zenithwakfu.com/builder/shbul,155,j,ecaflip
https://www.zenithwakfu.com/builder/vryt6,20,Xélor 20,xelor
https://www.zenithwakfu.com/builder/gjvpn,35,support/tank(?),feca
https://www.zenithwakfu.com/builder/kazfa,20,Sram20,sram
https://www.zenithwakfu.com/builder/leir8,20,Sram20,sram
https://www.zenithwakfu.com/builder/szfxy,35,Enu 35,enutrof
https://www.zenithwakfu.com/builder/wyk1u,230,Simechi 230,xelor
https://www.zenithwakfu.com/builder/yt6kq,155,low cost poison tremblement,sadida
https://www.zenithwakfu.com/builder/3bdem,200,.,enutrof
https://www.zenithwakfu.com/builder/b1oay,200,rod gers,sadida
https://www.zenithwakfu.com/builder/fgpns,110,pour sisquors,eliotrope
https://www.zenithwakfu.com/builder/0ymrn,110,osa invocation,osamodas
https://www.zenithwakfu.com/builder/lm6pu,170,xel 170,xelor
https://www.zenithwakfu.com/builder/xmp0t,125,tt125,roublard
https://www.zenithwakfu.com/builder/npsjq,155,Xélor 155,xelor
https://www.zenithwakfu.com/builder/pxxa8,245,uhu,osamodas
https://www.zenithwakfu.com/builder/5p9vn,110,dàistance,eliotrope
https://www.zenithwakfu.com/builder/udh2n,110,TANK,feca
https://www.zenithwakfu.com/builder/bsdob,200,arya,ecaflip
https://www.zenithwakfu.com/builder/3jepq,155,sss,sacrieur
https://www.zenithwakfu.com/builder/ujk4l,35,distance 35,sadida
https://www.zenithwakfu.com/builder/udfgz,20,20,sram
https://www.zenithwakfu.com/builder/h6bto,230,Spontex des states 215,roublard
https://www.zenithwakfu.com/builder/4vofk,110,osa invocation,osamodas
https://www.zenithwakfu.com/builder/hfzco,175,Imprevisible,roublard
https://www.zenithwakfu.com/builder/wiks0,95,QAAA,cra
https://www.zenithwakfu.com/builder/umwpf,80,Tank,feca
https://www.zenithwakfu.com/builder/lxtff,155,tank,enutrof
https://www.zenithwakfu.com/builder/fzqvc,230,Feca Indirecto,feca
https://www.zenithwakfu.com/builder/axn9s,200,sussyfkniop200?,iop
https://www.zenithwakfu.com/builder/nfva9,200,CALIARI 200,roublard
https://www.zenithwakfu.com/builder/13ywi,140,dist,sadida
https://www.zenithwakfu.com/builder/ywndb,50,Tank,feca
https://www.zenithwakfu.com/builder/zcxqz,80,a,ouginak
https://www.zenithwakfu.com/builder/lrohj,80,DPT Low Cost,ecaflip
https://www.zenithwakfu.com/builder/sydtt,244,tyty,xelor
https://www.zenithwakfu.com/builder/5qoat,185,ShanOcra,cra
https://www.zenithwakfu.com/builder/hxjaw,200,xel CE,xelor
https://www.zenithwakfu.com/builder/psckg,200,ECA distance Actuel,ecaflip
https://www.zenithwakfu.com/builder/xnq0w,150,Steam cream,steamer
https://www.zenithwakfu.com/builder/osdlq,245,Cra,cra
https://www.zenithwakfu.com/builder/wo7kf,140,xélor 140,xelor
https://www.zenithwakfu.com/builder/bbh5b,230,R32,sacrieur
https://www.zenithwakfu.com/builder/evsch,50,Osa Invoc,osamodas
https://www.zenithwakfu.com/builder/p4i0s,185,xous mollyy,xelor
https://www.zenithwakfu.com/builder/tra9y,230,Ultimatesarabambiching230,iop
https://www.zenithwakfu.com/builder/ggx2u,20,20,feca
https://www.zenithwakfu.com/builder/oexii,20,20,sadida
https://www.zenithwakfu.com/builder/4damm,20,20,cra
https://www.zenithwakfu.com/builder/q5nha,20,20,eliotrope
https://www.zenithwakfu.com/builder/ahhlo,20,20,iop
https://www.zenithwakfu.com/builder/l1vlj,20,20,sacrieur
https://www.zenithwakfu.com/builder/rj3lk,245,245 test,steamer
https://www.zenithwakfu.com/builder/wal6q,245,INSANE 245 ITEMS,steamer
https://www.zenithwakfu.com/builder/oi5ri,110,erghgfd,xelor
https://www.zenithwakfu.com/builder/zhkhd,80,test,osamodas
https://www.zenithwakfu.com/builder/hc0pc,110,mon stuff mono,sadida
https://www.zenithwakfu.com/builder/opc0y,245,aa,ouginak
https://www.zenithwakfu.com/builder/mdc4m,155,Ze,ecaflip
https://www.zenithwakfu.com/builder/ggzlr,110,ocra supervillana,cra
https://www.zenithwakfu.com/builder/yf30v,125,12321312,eliotrope
https://www.zenithwakfu.com/builder/3scsm,231,sadina,sadida
https://www.zenithwakfu.com/builder/7ypmi,245,bwild,eniripsa
https://www.zenithwakfu.com/builder/kaeux,170,xel 170,xelor
https://www.zenithwakfu.com/builder/diyud,230,First turn clean,xelor
https://www.zenithwakfu.com/builder/rhrhj,215,xel215,xelor
https://www.zenithwakfu.com/builder/muhsa,200,ENU SUPP,enutrof
https://www.zenithwakfu.com/builder/tqftq,230,230 Xelor DPT Construção,xelor
https://www.zenithwakfu.com/builder/kupcw,125,lv 125,iop
https://www.zenithwakfu.com/builder/lizas,110,dzadzadea,cra
https://www.zenithwakfu.com/builder/4k6ui,95,maxilubo2,eniripsa
https://www.zenithwakfu.com/builder/jfhw5,140,140,iop
https://www.zenithwakfu.com/builder/6mtom,140,test 1,eniripsa
https://www.zenithwakfu.com/builder/3z2mp,140,dpt tank,feca
https://www.zenithwakfu.com/builder/kfgo7,245,Cc,steamer
https://www.zenithwakfu.com/builder/vl90s,245,dsf,feca
https://www.zenithwakfu.com/builder/vc6ni,125,sadi dpt 125,sadida
https://www.zenithwakfu.com/builder/inilr,215,Spontex des states 215,roublard
https://www.zenithwakfu.com/builder/o8pxg,245,Sadi no elecon,sadida
https://www.zenithwakfu.com/builder/3obqo,20,ghj,sacrieur
https://www.zenithwakfu.com/builder/ljxpd,140,140,enutrof
https://www.zenithwakfu.com/builder/oxtni,230,DENOUEMENT,xelor
https://www.zenithwakfu.com/builder/i2j2k,245,Gearfu - Generated,xelor
https://www.zenithwakfu.com/builder/jqwsq,140,qwerty,cra
https://www.zenithwakfu.com/builder/dsbbq,200,Tank Ret PM,ouginak
https://www.zenithwakfu.com/builder/nxrsh,245,1,huppermage
https://www.zenithwakfu.com/builder/mqvpt,125,poison,ouginak
https://www.zenithwakfu.com/builder/xoqxp,140,Ani,eniripsa
https://www.zenithwakfu.com/builder/nrnf2,200,cacamodas pas cher,osamodas
https://www.zenithwakfu.com/builder/c9ctq,200,PANDA 200,pandawa
https://www.zenithwakfu.com/builder/txlhg,140,140,feca
https://www.zenithwakfu.com/builder/fz0hi,170,tank,pandawa
https://www.zenithwakfu.com/builder/jkers,245,24cock,steamer
https://www.zenithwakfu.com/builder/2yke9,140,.,iop
https://www.zenithwakfu.com/builder/niwzy,200,Opération Ogrest: Féca,feca
https://www.zenithwakfu.com/builder/3p5vn,125,Sac 125,sacrieur
https://www.zenithwakfu.com/builder/ycoaj,50,Myrnae 50 test,zobal
https://www.zenithwakfu.com/builder/x86im,140,.,iop
https://www.zenithwakfu.com/builder/l8utt,155,155,cra
https://www.zenithwakfu.com/builder/wdicy,200,Elemental Fogger,steamer
https://www.zenithwakfu.com/builder/kxdap,140,Selo 140,eliotrope
https://www.zenithwakfu.com/builder/m6zzp,140,140,enutrof
https://www.zenithwakfu.com/builder/jj2d0,140,Xelor,xelor
https://www.zenithwakfu.com/builder/iznqr,200,roccock,steamer
https://www.zenithwakfu.com/builder/xs5vc,245,"é""",ouginak
https://www.zenithwakfu.com/builder/cib8l,200,200 test,steamer
https://www.zenithwakfu.com/builder/5sxzf,230,Inconnu,sadida
https://www.zenithwakfu.com/builder/cydfi,245,I,eniripsa
https://www.zenithwakfu.com/builder/8hiye,230,zdfgadfg,sadida
https://www.zenithwakfu.com/builder/0c7fx,245,tes,feca
https://www.zenithwakfu.com/builder/65khz,125,Sup,eniripsa
https://www.zenithwakfu.com/builder/n5k41,110,AniTest,eniripsa
https://www.zenithwakfu.com/builder/gwnxx,245,245,feca
https://www.zenithwakfu.com/builder/ulkv2,155,pve,sacrieur
https://www.zenithwakfu.com/builder/to7mq,80,p,iop
https://www.zenithwakfu.com/builder/ur9hb,155,aaa,pandawa
https://www.zenithwakfu.com/builder/gh01e,245,Sui Rei,eniripsa
https://www.zenithwakfu.com/builder/cd5si,230,+,huppermage
https://www.zenithwakfu.com/builder/tsvyj,200,iop,iop
https://www.zenithwakfu.com/builder/2ob9y,245,123,osamodas
https://www.zenithwakfu.com/builder/byknc,110,yop,iop
https://www.zenithwakfu.com/builder/cfaxz,245,yop,iop
https://www.zenithwakfu.com/builder/prsnh,245,hdh,eliotrope
https://www.zenithwakfu.com/builder/d51ek,95,sacri,sacrieur
https://www.zenithwakfu.com/builder/8yttl,245,PP,sacrieur
https://www.zenithwakfu.com/builder/1xuka,131,zo,zobal
https://www.zenithwakfu.com/builder/snnsn,50,50,enutrof
https://www.zenithwakfu.com/builder/j4zom,35,Xélor lvl 35,xelor
https://www.zenithwakfu.com/builder/jheqb,245,a,roublard
https://www.zenithwakfu.com/builder/dytn7,200,ECA distance,ecaflip
https://www.zenithwakfu.com/builder/sacma,215,heal,eniripsa
https://www.zenithwakfu.com/builder/9cosn,140,Akyra 140,eniripsa
https://www.zenithwakfu.com/builder/ngveq,170,wwwwwwww,huppermage
https://www.zenithwakfu.com/builder/6nnhk,140,Placeur low cost,pandawa
https://www.zenithwakfu.com/builder/opobt,245,egezgez,huppermage
https://www.zenithwakfu.com/builder/6pn3j,170,Inconnu,xelor
https://www.zenithwakfu.com/builder/fiysu,125,Shodan's Eniripsa Poison 125 pvm,eniripsa
https://www.zenithwakfu.com/builder/vx9fw,245,245,sadida
https://www.zenithwakfu.com/builder/mr3sn,155,PVM,eniripsa
https://www.zenithwakfu.com/builder/zpq5x,155,PVM,eniripsa
https://www.zenithwakfu.com/builder/iorgv,200,Shodan's Eniripsa PVP 200 V2,eniripsa
https://www.zenithwakfu.com/builder/zbjbb,215,eni cri-heal,eniripsa
https://www.zenithwakfu.com/builder/xcdpu,245,213,feca
https://www.zenithwakfu.com/builder/l9hwo,170,test,cra
https://www.zenithwakfu.com/builder/hgdkc,245,awda,ouginak
https://www.zenithwakfu.com/builder/kkh3j,20,20,huppermage
https://www.zenithwakfu.com/builder/yxedd,140,asdf,sacrieur
https://www.zenithwakfu.com/builder/x9rc0,245,Aatrox-Xbllaster,osamodas
https://www.zenithwakfu.com/builder/pakgi,170,Test,zobal
https://www.zenithwakfu.com/builder/4rsok,215,asdfasgfd,feca
https://www.zenithwakfu.com/builder/sbzeu,155,feca 140 grem,feca
https://www.zenithwakfu.com/builder/xzezm,65,Mod 65,feca
https://www.zenithwakfu.com/builder/kt0we,35,Ladrão,roublard
https://www.zenithwakfu.com/builder/rnyug,20,MELEE PHORZERKER,enutrof
https://www.zenithwakfu.com/builder/8mdah,245,collosal,enutrof
https://www.zenithwakfu.com/builder/sztib,245,MONO,steamer
https://www.zenithwakfu.com/builder/wxyxf,245,ougi,ouginak
https://www.zenithwakfu.com/builder/jddyl,125,Rin,ecaflip
https://www.zenithwakfu.com/builder/2c0wn,245,LE BUILD SACRIEUR,sacrieur
https://www.zenithwakfu.com/builder/rrstc,245,LE BUILD SACRIEUR,sacrieur
https://www.zenithwakfu.com/builder/q9l33,140,enu 140,enutrof
https://www.zenithwakfu.com/builder/kdd71,80,ttttttttttt,huppermage
https://www.zenithwakfu.com/builder/mwosh,65,PANDALALALALAA,pandawa
https://www.zenithwakfu.com/builder/tqxso,50,Panda Opti,pandawa
https://www.zenithwakfu.com/builder/qmlwj,89,eu,sacrieur
https://www.zenithwakfu.com/builder/fb5ox,230,1,cra
https://www.zenithwakfu.com/builder/yzdpp,245,cafc,ecaflip
https://www.zenithwakfu.com/builder/8urwr,230,xel 230 mimo,xelor
https://www.zenithwakfu.com/builder/h5ldg,50,Eni Opti,eniripsa
https://www.zenithwakfu.com/builder/xkqoh,245,213,feca
https://www.zenithwakfu.com/builder/xv2hg,230,sacri 230 furie,sacrieur
https://www.zenithwakfu.com/builder/3su0e,110,sacri berserk 110,sacrieur
https://www.zenithwakfu.com/builder/c3gdo,155,cat,ecaflip
https://www.zenithwakfu.com/builder/iwd4i,155,sacr,sacrieur
https://www.zenithwakfu.com/builder/wo7cx,200,enu rework fw,enutrof
https://www.zenithwakfu.com/builder/0bvgh,50,Cra opti 50,cra
https://www.zenithwakfu.com/builder/bzg8z,155,sadi,sadida
https://www.zenithwakfu.com/builder/fosll,65,sacri 65,sacrieur
https://www.zenithwakfu.com/builder/z1srx,110,off tank,iop
https://www.zenithwakfu.com/builder/0nn4h,20,Caca,zobal
https://www.zenithwakfu.com/builder/aks22,215,Up,huppermage
https://www.zenithwakfu.com/builder/yntfu,155,pandaciaduster,pandawa
https://www.zenithwakfu.com/builder/hdopy,80,sacri 80,sacrieur
https://www.zenithwakfu.com/builder/4iz9r,170,sacri 170,sacrieur
https://www.zenithwakfu.com/builder/8frf8,215,FECA 215,feca
https://www.zenithwakfu.com/builder/ebdks,155,DPT indi,ouginak
https://www.zenithwakfu.com/builder/usy8u,81,TEST 3,feca
https://www.zenithwakfu.com/builder/t66yk,245,Balbodrunk,pandawa
https://www.zenithwakfu.com/builder/gqarf,125,TEST 2,feca
https://www.zenithwakfu.com/builder/ew7tr,200,kayv2 200,iop
https://www.zenithwakfu.com/builder/hmiq7,245,n,sacrieur
https://www.zenithwakfu.com/builder/xy8xz,230,golmon breche on l'encule,xelor
https://www.zenithwakfu.com/builder/cootb,245,fe,ouginak
https://www.zenithwakfu.com/builder/wzvqi,10,TEST,eliotrope
https://www.zenithwakfu.com/builder/dapzd,125,a,zobal
https://www.zenithwakfu.com/builder/apdw0,125,Feca Sup,feca
https://www.zenithwakfu.com/builder/v9p1f,110,Test,sacrieur
https://www.zenithwakfu.com/builder/gkgjv,190,TEST,feca
https://www.zenithwakfu.com/builder/rc1fp,110,una,osamodas
https://www.zenithwakfu.com/builder/jrhvd,245,ini t1,cra
https://www.zenithwakfu.com/builder/h5vwm,155,ECA DPT,ecaflip
https://www.zenithwakfu.com/builder/5bbrl,245,ergzfe,xelor
https://www.zenithwakfu.com/builder/ecfii,110,dpt melee,enutrof
https://www.zenithwakfu.com/builder/stblf,155,ECA DPT,ecaflip
https://www.zenithwakfu.com/builder/xz4bj,110,blbl,feca
https://www.zenithwakfu.com/builder/0vrf8,20,Caca,sacrieur
https://www.zenithwakfu.com/builder/6vjkc,245,a,sacrieur
https://www.zenithwakfu.com/builder/nwhy5,106,Testouille,eniripsa
https://www.zenithwakfu.com/builder/qayck,20,Caca,sacrieur
https://www.zenithwakfu.com/builder/spdtp,110,xelor 110,xelor
https://www.zenithwakfu.com/builder/he2ai,245,ougi poison 110 low cost,ouginak
https://www.zenithwakfu.com/builder/upnmv,245,dwda,ouginak
https://www.zenithwakfu.com/builder/027zp,170,170,ecaflip
https://www.zenithwakfu.com/builder/zfin6,131,Zoda,zobal
https://www.zenithwakfu.com/builder/wxo1z,170,Pandapagnan,pandawa
https://www.zenithwakfu.com/builder/aqidr,65,a,zobal
https://www.zenithwakfu.com/builder/uxswo,110,test 110,xelor
https://www.zenithwakfu.com/builder/7ohmy,110,test,xelor
https://www.zenithwakfu.com/builder/o87kf,230,SADI WARTY,sadida
https://www.zenithwakfu.com/builder/7y3mq,110,XEL 110,xelor
https://www.zenithwakfu.com/builder/tl3df,245,Gh,ouginak
https://www.zenithwakfu.com/builder/dpecx,245,enu 245,enutrof
https://www.zenithwakfu.com/builder/4pfyj,110,ENI 110,eniripsa
https://www.zenithwakfu.com/builder/vwzqw,100,eniri,eniripsa
https://www.zenithwakfu.com/builder/ksirg,245,a,zobal
https://www.zenithwakfu.com/builder/x4ogf,230,Feca sans eter 230,feca
https://www.zenithwakfu.com/builder/idrzd,20,HEAL,eniripsa
https://www.zenithwakfu.com/builder/4z5ic,243,ougi,ouginak
https://www.zenithwakfu.com/builder/cnf5i,200,Xel 200,xelor
https://www.zenithwakfu.com/builder/2hl5h,215,Feca sans eter,feca
https://www.zenithwakfu.com/builder/vsisp,100,Wtf,enutrof
https://www.zenithwakfu.com/builder/jxdhy,245,L,enutrof
https://www.zenithwakfu.com/builder/5opio,230,XEL 230 CE EAU ogrest team poison sadi,xelor
https://www.zenithwakfu.com/builder/tixnh,80,Sacri 80,sacrieur
https://www.zenithwakfu.com/builder/6xhvy,155,Ggg,pandawa
https://www.zenithwakfu.com/builder/qdff7,170,Test,sacrieur
https://www.zenithwakfu.com/builder/ujddv,245,enu,enutrof
https://www.zenithwakfu.com/builder/byck4,110,osa test,osamodas
https://www.zenithwakfu.com/builder/33l0z,125,xel 125,xelor
https://www.zenithwakfu.com/builder/psxs3,155,gneu TK,cra
https://www.zenithwakfu.com/builder/htm1z,155,lvl 155,zobal
https://www.zenithwakfu.com/builder/vdbdt,110,sacri test,sacrieur
https://www.zenithwakfu.com/builder/vrzhx,110,.,sacrieur
https://www.zenithwakfu.com/builder/wfbpc,245,eca,ecaflip
https://www.zenithwakfu.com/builder/dyyjv,200,tttr,cra
https://www.zenithwakfu.com/builder/uvo3t,140,test,iop
https://www.zenithwakfu.com/builder/vcwpv,215,Nao,iop
https://www.zenithwakfu.com/builder/d9dow,215,a,feca
https://www.zenithwakfu.com/builder/fjiwe,110,110BTF,sacrieur
https://www.zenithwakfu.com/builder/qum0z,110,Cra 110,cra
https://www.zenithwakfu.com/builder/1yloq,245,eca,ecaflip
https://www.zenithwakfu.com/builder/wryvd,155,vezce,ecaflip
https://www.zenithwakfu.com/builder/quqto,140,helper,enutrof
https://www.zenithwakfu.com/builder/3g93l,110,SACRI 110,sacrieur
https://www.zenithwakfu.com/builder/08d2q,95,XEL 95,xelor
https://www.zenithwakfu.com/builder/wtnwt,140,nurse,eniripsa
https://www.zenithwakfu.com/builder/lc9zh,215,veremos que sale,enutrof
https://www.zenithwakfu.com/builder/d0u26,230,230,ecaflip
https://www.zenithwakfu.com/builder/xbznk,245,zobal,zobal
https://www.zenithwakfu.com/builder/zcxhd,95,ENI 95,eniripsa
https://www.zenithwakfu.com/builder/ncldv,95,SACRI 95,sacrieur
https://www.zenithwakfu.com/builder/mjany,125,Inconnu,sram
https://www.zenithwakfu.com/builder/fuiej,125,Inconnu,sram
https://www.zenithwakfu.com/builder/kvxbq,125,ajmyt,huppermage
https://www.zenithwakfu.com/builder/1zc96,245,Samira245,roublard
https://www.zenithwakfu.com/builder/rawgk,140,Osa,osamodas
https://www.zenithwakfu.com/builder/efq1r,215,sadi poison 215,sadida
https://www.zenithwakfu.com/builder/tmdjk,80,sadida cac res,sadida
https://www.zenithwakfu.com/builder/kowaq,110,ifñ,osamodas
https://www.zenithwakfu.com/builder/kbptz,155,srambad xelor zerk,xelor
https://www.zenithwakfu.com/builder/a9izp,155,srambad xelor zerk,xelor
https://www.zenithwakfu.com/builder/doj6d,20,elio elem,eliotrope
https://www.zenithwakfu.com/builder/t2qkq,230,sadi 230 CE poison flex demi mid cost,sadida
https://www.zenithwakfu.com/builder/qynon,230,tset,huppermage
https://www.zenithwakfu.com/builder/fbvpr,200,Build 1742352781,eniripsa
https://www.zenithwakfu.com/builder/vrrgj,200,Eni 200,eniripsa
https://www.zenithwakfu.com/builder/kx7vf,140,no time,xelor
https://www.zenithwakfu.com/builder/w3tga,155,a,steamer
https://www.zenithwakfu.com/builder/gp1za,230,xélor 230,xelor
https://www.zenithwakfu.com/builder/qxx4q,95,mele,ecaflip
https://www.zenithwakfu.com/builder/yc2jz,200,Build 1742352781,eniripsa
https://www.zenithwakfu.com/builder/wxrvs,245,PANJII,pandawa
https://www.zenithwakfu.com/builder/jkrta,35,a,huppermage
https://www.zenithwakfu.com/builder/xeqbz,245,;,ouginak
https://www.zenithwakfu.com/builder/d33qw,170,1,ecaflip
https://www.zenithwakfu.com/builder/yiolb,65,xel,xelor
https://www.zenithwakfu.com/builder/qk0ew,230,Sram 230 Montadinho,sram
https://www.zenithwakfu.com/builder/qpb63,80,80,osamodas
https://www.zenithwakfu.com/builder/sczqo,125,enu tank supp mele,enutrof
https://www.zenithwakfu.com/builder/cetuh,170,DPT MELE/DOS 170,zobal
https://www.zenithwakfu.com/builder/e6sue,155,Xelor CE,xelor
https://www.zenithwakfu.com/builder/ugvlg,245,123,roublard
https://www.zenithwakfu.com/builder/szi9c,185,dfgh,osamodas
https://www.zenithwakfu.com/builder/bvkas,245,.,eniripsa
https://www.zenithwakfu.com/builder/411yk,155,155,sacrieur
https://www.zenithwakfu.com/builder/2678z,80,Range 80,cra
https://www.zenithwakfu.com/builder/hjbos,125,sacrier 125,sacrieur
https://www.zenithwakfu.com/builder/tbbli,80,ougi 80,ouginak
https://www.zenithwakfu.com/builder/nrwfr,245,sram test 3,sram
https://www.zenithwakfu.com/builder/cqkcy,110,Poison,ouginak
https://www.zenithwakfu.com/builder/medpm,185,PVM 185,sacrieur
https://www.zenithwakfu.com/builder/d4neq,170,melee zobal,zobal
https://www.zenithwakfu.com/builder/xhpsn,200,Opti no épée brak,steamer
https://www.zenithwakfu.com/builder/uoxqd,230,231,sadida
https://www.zenithwakfu.com/builder/n2uho,110,Rebuild SuPz,sacrieur
https://www.zenithwakfu.com/builder/yaygg,50,Elio 50,eliotrope
https://www.zenithwakfu.com/builder/rehp8,215,Enu tri elem,enutrof
https://www.zenithwakfu.com/builder/xznyt,200,Opti no épée brak,steamer
https://www.zenithwakfu.com/builder/mdr32,50,eni50,eniripsa
https://www.zenithwakfu.com/builder/lnyet,65,Kilorf - 65 Poison,ouginak
https://www.zenithwakfu.com/builder/1cu4d,230,money is power,enutrof
https://www.zenithwakfu.com/builder/y11kz,245,dsada,ouginak
https://www.zenithwakfu.com/builder/mtfu2,245,gasgasg,sacrieur
https://www.zenithwakfu.com/builder/oobtp,185,Xelor 185,xelor
https://www.zenithwakfu.com/builder/r3usi,110,Lv 110,cra
https://www.zenithwakfu.com/builder/avrzb,200,200 opti,sadida
https://www.zenithwakfu.com/builder/ejo2c,245,oij,sadida
https://www.zenithwakfu.com/builder/sujpf,200,Shodan's Eniripsa PVP 200 New,eniripsa
https://www.zenithwakfu.com/builder/bekcp,80,a,cra
https://www.zenithwakfu.com/builder/spcyx,110,mika kya,ecaflip
https://www.zenithwakfu.com/builder/cysmo,125,Dano Indireto para Escudos,ouginak
https://www.zenithwakfu.com/builder/fx22t,140,dpt140,enutrof
https://www.zenithwakfu.com/builder/aqegg,110,Test,eniripsa
https://www.zenithwakfu.com/builder/wxwou,230,Test,enutrof
https://www.zenithwakfu.com/builder/pp44z,215,Sadi Elemental 215 jojojaum,sadida
https://www.zenithwakfu.com/builder/mvf94,65,Kilorf - 65 Poison,ouginak
https://www.zenithwakfu.com/builder/wk502,200,200 début,sadida
https://www.zenithwakfu.com/builder/lvxgy,155,1,ouginak
https://www.zenithwakfu.com/builder/ldyrw,245,Coco,sacrieur
https://www.zenithwakfu.com/builder/tbuej,80,XEL 80,xelor
https://www.zenithwakfu.com/builder/0txxr,215,Enu RACISTE,enutrof
https://www.zenithwakfu.com/builder/t6fjy,170,enu Frin 170,enutrof
https://www.zenithwakfu.com/builder/ujjjb,140,enu 140,enutrof
https://www.zenithwakfu.com/builder/9hpd1,95,Roublard,roublard
https://www.zenithwakfu.com/builder/gdobb,230,Eca supp 230,ecaflip
https://www.zenithwakfu.com/builder/sjlkm,170,Build 1742338238,eniripsa
https://www.zenithwakfu.com/builder/f2kj8,110,CE/ALT Opti,xelor
https://www.zenithwakfu.com/builder/vqphd,200,200,sadida
https://www.zenithwakfu.com/builder/xfgg2,245,PANJII,pandawa
https://www.zenithwakfu.com/builder/utvde,230,zobal,zobal
https://www.zenithwakfu.com/builder/e2zae,170,Build 1742338238,eniripsa
https://www.zenithwakfu.com/builder/im4q4,200,Karmuty,iop
https://www.zenithwakfu.com/builder/ullk0,200,i neeeed raaange,cra
https://www.zenithwakfu.com/builder/oocxj,200,zerker,sacrieur
https://www.zenithwakfu.com/builder/tpn1i,110,FULL FEU OPTI,xelor
